Latitude (°);Longitude (°);Altitude (m);Tempo (s); vel (km/h)
-24,177337;-47,024178;98;0;0
-24,177353;-47,024119;97;1;22,070431
-24,177335;-47,023955;105;2;66,835022
-24,177401;-47,023985;118;5;18,223356
-24,177423;-47,023989;121;6;14,227544
-24,177446;-47,023987;119;11;2,347253
-24,177444;-47,023987;119;12;0,764430
-24,177446;-47,023995;120;44;0,144082
-24,177444;-47,023999;121;45;3,926103
-24,177427;-47,024032;120;56;1,340666
-24,177426;-47,024034;119;57;3,664353
-24,177423;-47,024036;119;59;0,783307
-24,17742;-47,024038;119;60;1,528860
-24,177397;-47,024124;117;73;2,623342
-24,177392;-47,024134;117;74;4,773862
-24,177381;-47,02422;116;79;6,220370
-24,177386;-47,024238;116;80;7,130126
-24,177435;-47,024272;116;87;3,355255
-24,17743;-47,024271;115;88;4,495106
-24,177424;-47,02427;116;89;4,254681
-24,177407;-47,024272;116;93;1,751529
-24,177411;-47,02427;116;96;1,025590
-24,177418;-47,024263;117;97;5,489989
-24,177438;-47,024197;118;100;8,463290
-24,177434;-47,024165;118;101;11,250371
-24,177403;-47,024082;118;104;11,097549
-24,17739;-47,024057;118;105;11,125014
-24,177364;-47,023978;119;108;9,933596
-24,177357;-47,023946;119;109;12,905061
-24,177344;-47,02387;119;111;14,189389
-24,177337;-47,023834;118;112;13,244247
-24,177319;-47,023766;118;114;13,109469
-24,177308;-47,023732;117;115;13,831286
-24,177281;-47,023667;116;117;13,119374
-24,177264;-47,023637;116;118;13,102781
-24,177216;-47,023585;116;120;13,159521
-24,177185;-47,023561;116;121;15,632543
-24,177126;-47,023508;116;123;15,338203
-24,177104;-47,023481;115;124;13,362844
-24,177073;-47,023421;115;126;12,302333
-24,177069;-47,023386;115;127;14,016398
-24,17708;-47,023307;113;129;14,572933
-24,177101;-47,023239;112;130;26,695770
-24,177121;-47,023175;111;131;25,149372
-24,177137;-47,023114;111;132;23,334524
-24,177152;-47,023056;111;133;21,777531
-24,177169;-47,022995;112;134;23,605642
-24,17718;-47,022939;113;135;21,553375
-24,177184;-47,02288;113;136;20,959879
-24,177181;-47,022821;114;137;22,596348
-24,177178;-47,022766;115;138;19,898363
-24,177164;-47,022679;116;140;16,345121
-24,177154;-47,022639;116;141;14,443475
-24,177115;-47,022559;115;144;11,187806
-24,177097;-47,022533;115;145;11,930984
-24,177032;-47,022467;114;147;17,665518
-24,176991;-47,022431;115;148;22,120680
-24,176948;-47,022391;113;149;22,982700
-24,176906;-47,022344;113;150;24,706579
-24,176864;-47,022297;113;151;23,707184
-24,176819;-47,022258;113;152;23,026979
-24,176778;-47,022223;113;153;20,360254
-24,176734;-47,022183;113;154;23,314482
-24,176693;-47,02211;113;156;15,679198
-24,176695;-47,022071;113;157;13,957911
-24,176708;-47,021983;114;159;16,346016
-24,176724;-47,021934;114;160;19,119915
-24,17675;-47,02189;113;161;20,172523
-24,176784;-47,021853;112;162;18,953827
-24,176824;-47,021819;112;163;20,357384
-24,176857;-47,021791;111;164;17,484873
-24,176922;-47,021751;113;166;15,167304
-24,17695;-47,02175;112;167;12,008566
-24,177033;-47,021724;112;170;11,419352
-24,177051;-47,021713;111;171;9,417650
-24,177076;-47,021698;111;174;3,794872
-24,177062;-47,021701;111;175;6,266459
-24,177051;-47,021704;111;176;4,059403
-24,177047;-47,021705;111;177;1,528860
-24,177051;-47,021704;111;178;1,528860
-24,177062;-47,021698;112;179;5,939889
-24,17713;-47,021642;111;183;8,680946
-24,177143;-47,021624;110;184;8,518451
-24,177173;-47,021535;108;188;9,081754
-24,177177;-47,021507;107;189;10,508572
-24,17718;-47,021434;106;191;13,365386
-24,17718;-47,021393;106;192;15,330582
-24,177181;-47,021314;106;194;14,636385
-24,17718;-47,021277;105;195;13,071042
-24,177172;-47,021208;105;197;12,633922
-24,177166;-47,021173;104;198;14,571933
-24,177152;-47,021099;104;200;13,504685
-24,177143;-47,021052;104;201;17,151188
-24,177133;-47,021001;103;202;20,201471
-24,177125;-47,020943;103;203;21,123728
-24,177121;-47,020886;103;204;21,026684
-24,177118;-47,020836;102;205;18,488747
-24,177117;-47,020784;102;206;19,525158
-24,177122;-47,020733;101;207;18,611603
-24,177133;-47,020647;101;209;16,188053
-24,177136;-47,02061;101;210;12,565515
-24,177146;-47,020533;98;213;10,079030
-24,177142;-47,020507;97;214;10,646682
-24,177128;-47,020435;97;216;13,505768
-24,177118;-47,020396;96;217;14,889286
-24,177098;-47,020315;95;219;15,994578
-24,17709;-47,020273;94;220;16,038065
-24,177079;-47,020181;94;222;16,878151
-24,177077;-47,020134;92;223;18,223492
-24,177075;-47,020047;92;225;16,030258
-24,177075;-47,020011;91;226;13,048671
-24,177073;-47,019939;89;228;13,725259
-24,177071;-47,019899;90;229;15,762430
-24,177055;-47,019821;90;231;14,265374
-24,177037;-47,019787;83;232;29,166182
-24,176993;-47,019724;82;234;14,306169
-24,17697;-47,019689;82;235;16,674385
-24,176933;-47,019622;82;236;27,779425
-24,176897;-47,019547;79;237;33,225937
-24,176875;-47,01947;77;238;30,207197
-24,176866;-47,019389;77;239;29,422108
-24,176858;-47,019307;76;240;31,017189
-24,176852;-47,019219;76;241;32,196926
-24,176844;-47,019126;76;242;33,582752
-24,176831;-47,019037;76;243;33,868637
-24,176815;-47,018963;76;244;27,171152
-24,176808;-47,018889;75;245;26,894224
-24,17682;-47,018822;75;246;25,646591
-24,176845;-47,01876;75;247;24,406748
-24,176877;-47,018696;76;248;26,896399
-24,176903;-47,018648;72;249;25,491802
-24,176932;-47,018605;72;250;19,138245
-24,17696;-47,018561;72;251;19,135189
-24,176983;-47,018512;71;252;20,619471
-24,17701;-47,018456;71;253;23,479321
-24,177036;-47,018402;70;254;22,536791
-24,177068;-47,018345;72;255;25,641048
-24,1771;-47,018286;71;256;24,478212
-24,177136;-47,018223;71;257;27,779425
-24,177176;-47,018152;72;258;31,161917
-24,177211;-47,018081;71;259;29,198601
-24,177246;-47,018013;71;260;28,602345
-24,17728;-47,017943;71;261;28,604387
-24,177313;-47,017874;71;262;28,246689
-24,177344;-47,017809;72;263;26,896399
-24,177374;-47,01774;72;264;29,162771
-24,177402;-47,017681;73;265;24,107773
-24,177432;-47,01763;74;266;21,736954
-24,17746;-47,017582;74;267;21,434044
-24,177488;-47,017535;73;268;20,585434
-24,177524;-47,017484;74;269;24,578272
-24,17756;-47,017438;75;270;22,430229
-24,177602;-47,017406;77;271;21,413771
-24,17765;-47,01734;77;273;15,212921
-24,177664;-47,017298;77;274;16,234013
-24,177687;-47,01725;77;275;20,302773
-24,177718;-47,0172;78;276;22,144442
-24,177756;-47,017146;80;277;25,802347
-24,177799;-47,017099;81;278;25,488642
-24,177841;-47,017056;81;279;22,743553
-24,177883;-47,01702;82;280;21,275034
-24,177954;-47,016972;83;282;16,878923
-24,177986;-47,016958;83;283;14,124379
-24,178056;-47,016945;86;286;10,180304
-24,178077;-47,016939;86;287;8,855516
-24,178146;-47,016945;87;290;9,290533
-24,178167;-47,016946;86;291;9,140560
-24,178247;-47,016924;87;295;8,255705
-24,178257;-47,016922;86;296;5,436509
-24,178337;-47,016912;85;301;6,510103
-24,178392;-47,016904;84;302;22,611860
-24,178468;-47,016899;83;303;30,792181
-24,178554;-47,016891;84;304;34,666519
-24,178633;-47,016881;86;305;32,400589
-24,178714;-47,016868;86;306;33,107841
-24,17879;-47,01685;87;307;30,801668
-24,178864;-47,016821;86;308;31,547697
-24,178931;-47,016806;87;309;27,540468
-24,17899;-47,016797;86;310;24,312933
-24,179049;-47,016785;86;311;24,042501
-24,179107;-47,016782;85;312;23,988708
-24,179155;-47,016774;86;313;19,629307
-24,179202;-47,016752;83;314;22,858948
-24,179256;-47,016739;83;315;22,539663
-24,179326;-47,016732;83;316;27,636015
-24,179385;-47,016737;82;317;24,110197
-24,179448;-47,016754;82;318;25,812384
-24,179501;-47,016734;76;319;31,182941
-24,179538;-47,016716;73;320;19,960333
-24,179611;-47,016723;75;323;10,010216
-24,179634;-47,016737;77;324;12,916681
-24,179711;-47,016738;77;327;10,182837
-24,179752;-47,01672;76;328;18,542400
-24,179801;-47,016695;73;329;24,621349
-24,17986;-47,016669;72;330;24,656605
-24,179925;-47,016657;72;331;27,054768
-24,179992;-47,016658;71;332;26,970165
-24,180059;-47,016667;71;333;26,874899
-24,180126;-47,016676;71;334;27,059086
-24,180193;-47,016688;72;335;27,295370
-24,180256;-47,016693;72;336;25,240078
-24,180323;-47,01669;72;337;26,765961
-24,180391;-47,016686;71;338;27,764469
-24,180467;-47,016678;71;339;30,676407
-24,180536;-47,016677;71;340;27,493980
-24,180609;-47,016677;71;341;29,020155
-24,180679;-47,016678;71;342;28,257030
-24,180753;-47,016684;70;343;30,132288
-24,18083;-47,016682;68;344;31,417166
-24,180906;-47,016685;68;345;30,579102
-24,180983;-47,01669;68;346;30,581015
-24,181062;-47,016692;68;347;32,106052
-24,181145;-47,016697;68;348;32,868706
-24,181212;-47,016702;67;349;27,006975
-24,181278;-47,016709;67;350;26,874899
-24,181345;-47,016717;67;351;26,877073
-24,181398;-47,01672;68;352;21,728888
-24,181456;-47,016699;65;353;26,270208
-24,181519;-47,016667;63;354;29,057520
-24,181579;-47,016635;61;355;27,812153
-24,181641;-47,016596;58;356;30,134493
-24,181698;-47,016564;57;357;26,367603
-24,181756;-47,016526;56;358;27,056692
-24,181814;-47,016483;54;359;29,109760
-24,181873;-47,016438;52;360;29,866745
-24,181934;-47,01639;51;361;29,832146
-24,181994;-47,016351;50;362;28,434101
-24,182054;-47,016316;50;363;27,468462
-24,18211;-47,016301;50;364;22,838419
-24,182172;-47,016299;50;365;25,200689
-24,18223;-47,016294;50;366;23,080210
-24,182293;-47,0163;50;367;25,355572
-24,182346;-47,016313;46;368;26,116821
-24,182408;-47,016321;45;369;24,859585
-24,182481;-47,016329;45;370;30,076206
-24,182558;-47,016328;45;371;30,579102
-24,182639;-47,016322;46;372;32,307251
-24,182722;-47,016315;48;373;34,481743
-24,182795;-47,016299;48;374;29,550922
-24,182862;-47,016278;47;375;28,238188
-24,182916;-47,016264;48;376;22,825344
-24,182964;-47,016253;48;377;19,546097
-24,183014;-47,016248;48;378;20,053719
-24,183066;-47,016243;48;379;20,667898
-24,183111;-47,016241;49;380;18,730532
-24,183195;-47,016257;49;382;17,159704
-24,18323;-47,016275;49;383;14,830726
-24,183304;-47,016298;45;386;11,373928
-24,183324;-47,016298;44;387;9,140560
-24,18339;-47,016268;45;390;9,323322
-24,183414;-47,016242;46;391;14,378157
-24,183462;-47,016181;47;393;14,787213
-24,183488;-47,016143;46;394;17,930374
-24,183527;-47,016066;48;396;16,292908
-24,183543;-47,016026;48;397;16,501770
-24,183573;-47,01595;49;399;15,319993
-24,183588;-47,015911;49;400;15,215802
-24,183604;-47,015872;48;401;15,632137
-24,183622;-47,015816;48;402;22,255281
-24,18364;-47,015751;49;403;24,927660
-24,183656;-47,015677;49;404;27,353344
-24,183669;-47,015603;48;405;28,471067
-24,183675;-47,01552;47;406;31,017189
-24,18368;-47,015444;47;407;26,522518
-24,183681;-47,015364;45;408;30,145231
-24,183685;-47,015287;44;409;29,523010
-24,183693;-47,015206;43;410;29,639559
-24,183697;-47,015124;43;411;29,300705
-24,183705;-47,015042;43;412;30,805668
-24,183715;-47,014954;42;413;32,573841
-24,183722;-47,014869;43;414;30,949293
-24,183733;-47,014789;42;415;29,834103
-24,183739;-47,014718;42;416;26,573145
-24,183743;-47,014649;41;417;25,385267
-24,183742;-47,014587;41;418;22,297253
-24,183738;-47,014518;40;419;25,385267
-24,183737;-47,014464;41;420;19,854263
-24,183737;-47,01441;41;421;20,901249
-24,183739;-47,014356;40;422;19,854263
-24,18375;-47,01426;41;424;17,659727
-24,183751;-47,014218;41;425;15,326769
-24,183725;-47,01414;39;427;15,223064
-24,18371;-47,014099;39;428;16,501770
-24,183683;-47,014007;40;430;17,646488
-24,183668;-47,013964;38;431;18,007368
-24,183644;-47,01388;38;433;16,111162
